idx,returncode,mom_abs,ema_abs,skip,instant_min_rel,generated,taken,equity,expectancy,pf,dd
1,0,1.0,0.5,none,,151,66,45.36,+0.232,1.35,53.7
2,0,1.0,0.5,none,0.0,146,66,46.55,+0.234,1.35,53.7
3,0,1.0,0.5,none,2.0,144,66,39.45,+0.224,1.32,53.7
4,0,1.0,0.5,none,4.0,143,66,63.41,+0.246,1.43,48.7
5,0,1.0,0.5,none,6.0,143,66,63.41,+0.246,1.43,48.7
6,0,1.0,0.5,INSTANT,,143,66,63.41,+0.246,1.43,48.7
7,0,1.0,0.5,"INSTANT,RETEST",,143,66,63.41,+0.246,1.43,48.7
8,0,1.0,1.0,none,,151,66,45.36,+0.232,1.35,53.7
9,0,1.0,1.0,none,0.0,144,66,46.55,+0.234,1.35,53.7
10,0,1.0,1.0,none,2.0,142,66,63.69,+0.237,1.43,48.7
11,0,1.0,1.0,none,4.0,141,65,63.68,+0.249,1.44,48.7
12,0,1.0,1.0,none,6.0,141,65,63.68,+0.249,1.44,48.7
13,0,1.0,1.0,INSTANT,,140,64,72.84,+0.269,1.44,49.9
14,0,1.0,1.0,"INSTANT,RETEST",,139,63,73.83,+0.268,1.45,49.3
15,0,1.0,1.5,none,,151,66,45.36,+0.232,1.35,53.7
16,0,1.0,1.5,none,0.0,144,66,46.55,+0.234,1.35,53.7
17,0,1.0,1.5,none,2.0,142,66,44.38,+0.224,1.32,53.7
18,0,1.0,1.5,none,4.0,140,64,64.59,+0.255,1.44,48.7
19,0,1.0,1.5,none,6.0,140,64,64.59,+0.255,1.44,48.7
20,0,1.0,1.5,INSTANT,,137,62,59.63,+0.248,1.40,51.5
21,0,1.0,1.5,"INSTANT,RETEST",,136,61,59.65,+0.247,1.40,51.5
22,0,1.5,0.5,none,,151,66,45.36,+0.232,1.35,53.7
23,0,1.5,0.5,none,0.0,145,65,37.94,+0.205,1.32,53.7
24,0,1.5,0.5,none,2.0,143,65,25.59,+0.195,1.24,53.7
25,0,1.5,0.5,none,4.0,142,65,41.96,+0.217,1.33,53.7
26,0,1.5,0.5,none,6.0,142,65,41.96,+0.217,1.33,53.7
27,0,1.5,0.5,INSTANT,,141,64,46.07,+0.235,1.35,53.7
28,0,1.5,0.5,"INSTANT,RETEST",,141,64,46.07,+0.235,1.35,53.7
29,0,1.5,1.0,none,,151,66,45.36,+0.232,1.35,53.7
30,0,1.5,1.0,none,0.0,142,65,34.51,+0.169,1.28,57.4
31,0,1.5,1.0,none,2.0,140,65,34.81,+0.172,1.28,57.4
32,0,1.5,1.0,none,4.0,139,64,37.67,+0.183,1.29,57.4
33,0,1.5,1.0,none,6.0,139,64,37.67,+0.183,1.29,57.4
34,0,1.5,1.0,INSTANT,,137,62,56.64,+0.220,1.37,55.1
35,0,1.5,1.0,"INSTANT,RETEST",,136,61,56.83,+0.219,1.37,55.1
36,0,1.5,1.5,none,,151,66,45.36,+0.232,1.35,53.7
37,0,1.5,1.5,none,0.0,142,65,34.51,+0.169,1.28,57.4
38,0,1.5,1.5,none,2.0,140,65,28.80,+0.158,1.24,57.4
39,0,1.5,1.5,none,4.0,138,63,39.92,+0.188,1.31,57.4
40,0,1.5,1.5,none,6.0,138,63,39.92,+0.188,1.31,57.4
41,0,1.5,1.5,INSTANT,,134,60,43.96,+0.197,1.32,58.0
42,0,1.5,1.5,"INSTANT,RETEST",,133,59,44.10,+0.195,1.32,58.0
43,0,2.0,0.5,none,,151,66,45.36,+0.232,1.35,53.7
44,0,2.0,0.5,none,0.0,145,65,37.94,+0.205,1.32,53.7
45,0,2.0,0.5,none,2.0,143,65,25.59,+0.195,1.24,53.7
46,0,2.0,0.5,none,4.0,142,65,41.96,+0.217,1.33,53.7
47,0,2.0,0.5,none,6.0,142,65,41.96,+0.217,1.33,53.7
48,0,2.0,0.5,INSTANT,,138,65,23.91,+0.156,1.20,54.1
49,0,2.0,0.5,"INSTANT,RETEST",,138,65,23.91,+0.156,1.20,54.1
50,0,2.0,1.0,none,,151,66,45.36,+0.232,1.35,53.7
51,0,2.0,1.0,none,0.0,142,65,34.51,+0.169,1.28,57.4
52,0,2.0,1.0,none,2.0,139,64,35.15,+0.182,1.28,57.0
53,0,2.0,1.0,none,4.0,138,63,38.03,+0.194,1.30,57.0
54,0,2.0,1.0,none,6.0,138,63,38.03,+0.194,1.30,57.0
55,0,2.0,1.0,INSTANT,,131,61,26.73,+0.144,1.22,57.0
56,0,2.0,1.0,"INSTANT,RETEST",,130,60,25.26,+0.141,1.21,57.0
57,0,2.0,1.5,none,,151,66,45.36,+0.232,1.35,53.7
58,0,2.0,1.5,none,0.0,142,65,28.16,+0.142,1.24,57.4
59,0,2.0,1.5,none,2.0,139,64,23.15,+0.142,1.19,57.2
60,0,2.0,1.5,none,4.0,137,62,32.59,+0.172,1.26,57.0
61,0,2.0,1.5,none,6.0,137,62,32.59,+0.172,1.26,57.0
62,0,2.0,1.5,INSTANT,,127,59,9.71,+0.037,0.99,61.4
63,0,2.0,1.5,"INSTANT,RETEST",,126,58,9.21,+0.033,0.98,61.5
64,0,2.5,0.5,none,,151,66,45.36,+0.232,1.35,53.7
65,0,2.5,0.5,none,0.0,145,65,37.94,+0.205,1.32,53.7
66,0,2.5,0.5,none,2.0,143,65,25.59,+0.195,1.24,53.7
67,0,2.5,0.5,none,4.0,142,65,41.96,+0.217,1.33,53.7
68,0,2.5,0.5,none,6.0,141,64,42.86,+0.236,1.35,52.2
69,0,2.5,0.5,INSTANT,,137,64,24.66,+0.174,1.21,51.8
70,0,2.5,0.5,"INSTANT,RETEST",,137,64,24.66,+0.174,1.21,51.8
71,0,2.5,1.0,none,,151,66,45.36,+0.232,1.35,53.7
72,0,2.5,1.0,none,0.0,141,65,34.51,+0.169,1.28,57.4
73,0,2.5,1.0,none,2.0,138,64,35.15,+0.182,1.28,57.0
74,0,2.5,1.0,none,4.0,137,63,38.03,+0.194,1.30,57.0
75,0,2.5,1.0,none,6.0,136,62,38.99,+0.213,1.31,55.9
76,0,2.5,1.0,INSTANT,,128,58,30.24,+0.178,1.27,55.9
77,0,2.5,1.0,"INSTANT,RETEST",,127,57,28.59,+0.175,1.26,55.9
78,0,2.5,1.5,none,,151,66,45.36,+0.232,1.35,53.7
79,0,2.5,1.5,none,0.0,140,64,29.94,+0.160,1.26,54.7
80,0,2.5,1.5,none,2.0,137,63,24.26,+0.160,1.21,55.2
81,0,2.5,1.5,none,4.0,135,61,33.96,+0.191,1.28,55.2
82,0,2.5,1.5,none,6.0,134,60,35.89,+0.211,1.31,52.7
83,0,2.5,1.5,INSTANT,,123,55,10.99,+0.086,1.03,56.3
84,0,2.5,1.5,"INSTANT,RETEST",,122,54,10.24,+0.082,1.01,57.1
