idx,mom_abs,ema_abs,skip,instant_min_rel,w2_equity,w2_exp,w2_dd,w3_generated,w3_taken,w3_equity,w3_expectancy,w3_pf,w3_dd,w3_unchanged
2,1.0,0.5,none,0.0,46.55,+0.234,53.7,197,104,2918.61,+0.871,2.19,43.3,True
4,1.0,0.5,none,4.0,63.41,+0.246,48.7,197,104,2918.61,+0.871,2.19,43.3,True
5,1.0,0.5,none,6.0,63.41,+0.246,48.7,197,104,2918.61,+0.871,2.19,43.3,True
6,1.0,0.5,INSTANT,,63.41,+0.246,48.7,193,101,1919.72,+0.818,1.90,43.3,False
7,1.0,0.5,"INSTANT,RETEST",,63.41,+0.246,48.7,192,100,2008.65,+0.832,1.95,43.3,False
9,1.0,1.0,none,0.0,46.55,+0.234,53.7,196,103,3102.45,+0.886,2.22,43.3,False
10,1.0,1.0,none,2.0,63.69,+0.237,48.7,195,103,2903.59,+0.874,2.11,43.3,False
11,1.0,1.0,none,4.0,63.68,+0.249,48.7,194,102,3043.84,+0.888,2.14,43.3,False
12,1.0,1.0,none,6.0,63.68,+0.249,48.7,194,102,3043.84,+0.888,2.14,43.3,False
13,1.0,1.0,INSTANT,,72.84,+0.269,49.9,187,96,2516.44,+0.875,2.30,43.3,False
14,1.0,1.0,"INSTANT,RETEST",,73.83,+0.268,49.3,184,94,2508.97,+0.894,2.29,43.3,False
16,1.0,1.5,none,0.0,46.55,+0.234,53.7,196,103,3102.45,+0.886,2.22,43.3,False
18,1.0,1.5,none,4.0,64.59,+0.255,48.7,193,101,3190.81,+0.902,2.17,43.3,False
19,1.0,1.5,none,6.0,64.59,+0.255,48.7,193,101,3190.81,+0.902,2.17,43.3,False
20,1.0,1.5,INSTANT,,59.63,+0.248,51.5,185,94,2541.84,+0.908,2.31,43.3,False
21,1.0,1.5,"INSTANT,RETEST",,59.65,+0.247,51.5,182,92,2541.44,+0.928,2.30,43.3,False
27,1.5,0.5,INSTANT,,46.07,+0.235,53.7,191,101,2144.53,+0.831,1.97,43.3,False
28,1.5,0.5,"INSTANT,RETEST",,46.07,+0.235,53.7,190,100,2226.63,+0.845,2.03,43.3,False
